ID,Pokemon Go,Type1,Type2,HP,Attack,Defense,Level,CP Multiplier,CP
384.0,Mega Rayquaza,Dragon,Flying,22.0,36.0,21.0,1,0.094,80
384.0,Mega Rayquaza,Dragon,Flying,40.0,65.0,37.0,2,0.16639787,253
384.0,Mega Rayquaza,Dragon,Flying,52.0,84.0,48.0,3,0.21573247,425
384.0,Mega Rayquaza,Dragon,Flying,61.0,100.0,57.0,4,0.25572005,598
384.0,Mega Rayquaza,Dragon,Flying,70.0,113.0,65.0,5,0.29024988,770
384.0,Mega Rayquaza,Dragon,Flying,77.0,125.0,72.0,6,0.3210876,943
384.0,Mega Rayquaza,Dragon,Flying,84.0,136.0,78.0,7,0.34921268,1115
384.0,Mega Rayquaza,Dragon,Flying,90.0,147.0,84.0,8,0.3752356,1287
384.0,Mega Rayquaza,Dragon,Flying,96.0,156.0,89.0,9,0.39956728,1460
384.0,Mega Rayquaza,Dragon,Flying,102.0,165.0,95.0,10,0.4225,1632
384.0,Mega Rayquaza,Dragon,Flying,107.0,173.0,99.0,11,0.44310755,1795
384.0,Mega Rayquaza,Dragon,Flying,111.0,181.0,104.0,12,0.4627984,1959
384.0,Mega Rayquaza,Dragon,Flying,116.0,188.0,108.0,13,0.48168495,2122
384.0,Mega Rayquaza,Dragon,Flying,120.0,195.0,112.0,14,0.49985844,2285
384.0,Mega Rayquaza,Dragon,Flying,125.0,202.0,116.0,15,0.51739395,2448
384.0,Mega Rayquaza,Dragon,Flying,129.0,209.0,120.0,16,0.5343543,2611
384.0,Mega Rayquaza,Dragon,Flying,133.0,215.0,123.0,17,0.5507927,2774
384.0,Mega Rayquaza,Dragon,Flying,137.0,222.0,127.0,18,0.5667545,2938
384.0,Mega Rayquaza,Dragon,Flying,140.0,228.0,131.0,19,0.5822789,3101
384.0,Mega Rayquaza,Dragon,Flying,144.0,234.0,134.0,20,0.5974,3264
384.0,Mega Rayquaza,Dragon,Flying,148.0,239.0,137.0,21,0.6121573,3427
384.0,Mega Rayquaza,Dragon,Flying,151.0,245.0,140.0,22,0.6265671,3591
384.0,Mega Rayquaza,Dragon,Flying,155.0,251.0,144.0,23,0.64065295,3754
384.0,Mega Rayquaza,Dragon,Flying,158.0,256.0,147.0,24,0.65443563,3917
384.0,Mega Rayquaza,Dragon,Flying,161.0,261.0,150.0,25,0.667934,4080
384.0,Mega Rayquaza,Dragon,Flying,164.0,267.0,153.0,26,0.6811649,4244
384.0,Mega Rayquaza,Dragon,Flying,167.0,272.0,156.0,27,0.69414365,4407
384.0,Mega Rayquaza,Dragon,Flying,171.0,277.0,159.0,28,0.7068842,4570
384.0,Mega Rayquaza,Dragon,Flying,174.0,282.0,161.0,29,0.7193991,4733
384.0,Mega Rayquaza,Dragon,Flying,177.0,286.0,164.0,30,0.7317,4897
384.0,Mega Rayquaza,Dragon,Flying,178.0,289.0,165.0,31,0.7377695,4978
384.0,Mega Rayquaza,Dragon,Flying,179.0,291.0,167.0,32,0.74378943,5060
384.0,Mega Rayquaza,Dragon,Flying,181.0,293.0,168.0,33,0.74976104,5141
384.0,Mega Rayquaza,Dragon,Flying,182.0,296.0,170.0,34,0.7556855,5223
384.0,Mega Rayquaza,Dragon,Flying,184.0,298.0,171.0,35,0.76156384,5305
384.0,Mega Rayquaza,Dragon,Flying,185.0,300.0,172.0,36,0.76739717,5386
384.0,Mega Rayquaza,Dragon,Flying,187.0,303.0,173.0,37,0.7731865,5468
384.0,Mega Rayquaza,Dragon,Flying,188.0,305.0,175.0,38,0.77893275,5549
384.0,Mega Rayquaza,Dragon,Flying,189.0,307.0,176.0,39,0.784637,5631
384.0,Mega Rayquaza,Dragon,Flying,191.0,309.0,177.0,40,0.7903,5713
384.0,Mega Rayquaza,Dragon,Flying,192.0,311.0,178.0,41,0.79530001,5785
384.0,Mega Rayquaza,Dragon,Flying,193.0,313.0,180.0,42,0.8003,5858
384.0,Mega Rayquaza,Dragon,Flying,194.0,315.0,181.0,43,0.8053,5931
384.0,Mega Rayquaza,Dragon,Flying,196.0,317.0,182.0,44,0.81029999,6005
384.0,Mega Rayquaza,Dragon,Flying,197.0,319.0,183.0,45,0.81529999,6080
384.0,Mega Rayquaza,Dragon,Flying,198.0,321.0,184.0,46,0.82029999,6155
384.0,Mega Rayquaza,Dragon,Flying,199.0,323.0,185.0,47,0.82529999,6230
384.0,Mega Rayquaza,Dragon,Flying,200.0,325.0,186.0,48,0.83029999,6306
384.0,Mega Rayquaza,Dragon,Flying,202.0,327.0,187.0,49,0.83529999,6382
384.0,Mega Rayquaza,Dragon,Flying,203.0,329.0,189.0,50,0.84029999,6458
384.0,Mega Rayquaza,Dragon,Flying,204.0,331.0,190.0,51,0.84529999,6535
150.0,Shadow Mewtwo,Psychic,,21.0,35.0,15.0,1,0.094,59
150.0,Shadow Mewtwo,Psychic,,38.0,62.0,27.0,2,0.16639787,185
150.0,Shadow Mewtwo,Psychic,,49.0,80.0,35.0,3,0.21573247,311
150.0,Shadow Mewtwo,Psychic,,58.0,95.0,42.0,4,0.25572005,437
150.0,Shadow Mewtwo,Psychic,,66.0,108.0,48.0,5,0.29024988,563
150.0,Shadow Mewtwo,Psychic,,73.0,120.0,53.0,6,0.3210876,689
150.0,Shadow Mewtwo,Psychic,,79.0,130.0,58.0,7,0.34921268,815
150.0,Shadow Mewtwo,Psychic,,85.0,140.0,62.0,8,0.3752356,942
150.0,Shadow Mewtwo,Psychic,,91.0,149.0,66.0,9,0.39956728,1068
150.0,Shadow Mewtwo,Psychic,,96.0,158.0,70.0,10,0.4225,1194
150.0,Shadow Mewtwo,Psychic,,101.0,166.0,73.0,11,0.44310755,1313
150.0,Shadow Mewtwo,Psychic,,105.0,173.0,77.0,12,0.4627984,1432
150.0,Shadow Mewtwo,Psychic,,110.0,180.0,80.0,13,0.48168495,1552
150.0,Shadow Mewtwo,Psychic,,114.0,187.0,83.0,14,0.49985844,1671
150.0,Shadow Mewtwo,Psychic,,118.0,194.0,86.0,15,0.51739395,1791
150.0,Shadow Mewtwo,Psychic,,122.0,200.0,89.0,16,0.5343543,1910
150.0,Shadow Mewtwo,Psychic,,126.0,206.0,91.0,17,0.5507927,2029
150.0,Shadow Mewtwo,Psychic,,129.0,212.0,94.0,18,0.5667545,2149
150.0,Shadow Mewtwo,Psychic,,133.0,218.0,97.0,19,0.5822789,2268
150.0,Shadow Mewtwo,Psychic,,136.0,224.0,99.0,20,0.5974,2387
150.0,Shadow Mewtwo,Psychic,,140.0,229.0,102.0,21,0.6121573,2507
150.0,Shadow Mewtwo,Psychic,,143.0,234.0,104.0,22,0.6265671,2626
150.0,Shadow Mewtwo,Psychic,,146.0,240.0,106.0,23,0.64065295,2746
150.0,Shadow Mewtwo,Psychic,,149.0,245.0,109.0,24,0.65443563,2865
150.0,Shadow Mewtwo,Psychic,,152.0,250.0,111.0,25,0.667934,2984
150.0,Shadow Mewtwo,Psychic,,155.0,255.0,113.0,26,0.6811649,3104
150.0,Shadow Mewtwo,Psychic,,158.0,260.0,115.0,27,0.69414365,3223
150.0,Shadow Mewtwo,Psychic,,161.0,265.0,117.0,28,0.7068842,3343
150.0,Shadow Mewtwo,Psychic,,164.0,269.0,119.0,29,0.7193991,3462
150.0,Shadow Mewtwo,Psychic,,167.0,274.0,121.0,30,0.7317,3582
150.0,Shadow Mewtwo,Psychic,,168.0,276.0,122.0,31,0.7377695,3641
150.0,Shadow Mewtwo,Psychic,,170.0,278.0,123.0,32,0.74378943,3701
150.0,Shadow Mewtwo,Psychic,,171.0,281.0,124.0,33,0.74976104,3761
150.0,Shadow Mewtwo,Psychic,,173.0,283.0,125.0,34,0.7556855,3820
150.0,Shadow Mewtwo,Psychic,,174.0,285.0,126.0,35,0.76156384,3880
150.0,Shadow Mewtwo,Psychic,,175.0,287.0,127.0,36,0.76739717,3940
150.0,Shadow Mewtwo,Psychic,,177.0,289.0,128.0,37,0.7731865,3999
150.0,Shadow Mewtwo,Psychic,,178.0,292.0,129.0,38,0.77893275,4059
150.0,Shadow Mewtwo,Psychic,,179.0,294.0,130.0,39,0.784637,4119
150.0,Shadow Mewtwo,Psychic,,180.0,296.0,131.0,40,0.7903,4178
150.0,Shadow Mewtwo,Psychic,,182.0,298.0,132.0,41,0.79530001,4231
150.0,Shadow Mewtwo,Psychic,,183.0,300.0,133.0,42,0.8003,4285
150.0,Shadow Mewtwo,Psychic,,184.0,301.0,134.0,43,0.8053,4338
150.0,Shadow Mewtwo,Psychic,,185.0,303.0,135.0,44,0.81029999,4392
150.0,Shadow Mewtwo,Psychic,,186.0,305.0,135.0,45,0.81529999,4447
150.0,Shadow Mewtwo,Psychic,,187.0,307.0,136.0,46,0.82029999,4502
150.0,Shadow Mewtwo,Psychic,,188.0,309.0,137.0,47,0.82529999,4557
150.0,Shadow Mewtwo,Psychic,,190.0,311.0,138.0,48,0.83029999,4612
150.0,Shadow Mewtwo,Psychic,,191.0,313.0,139.0,49,0.83529999,4668
